indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,158,china. taiwan province of china,tw,1,1950,49495.0
total net number of migrants,158,china. taiwan province of china,tw,2,1951,35502.0
total net number of migrants,158,china. taiwan province of china,tw,3,1952,23900.0
total net number of migrants,158,china. taiwan province of china,tw,4,1953,14698.0
total net number of migrants,158,china. taiwan province of china,tw,5,1954,7794.0
total net number of migrants,158,china. taiwan province of china,tw,6,1955,3210.0
total net number of migrants,158,china. taiwan province of china,tw,7,1956,689.0
total net number of migrants,158,china. taiwan province of china,tw,8,1957,394.0
total net number of migrants,158,china. taiwan province of china,tw,9,1958,2903.0
total net number of migrants,158,china. taiwan province of china,tw,10,1959,11691.0
total net number of migrants,158,china. taiwan province of china,tw,11,1960,24395.0
total net number of migrants,158,china. taiwan province of china,tw,12,1961,37397.0
total net number of migrants,158,china. taiwan province of china,tw,13,1962,47402.0
total net number of migrants,158,china. taiwan province of china,tw,14,1963,52308.0
total net number of migrants,158,china. taiwan province of china,tw,15,1964,57598.0
total net number of migrants,158,china. taiwan province of china,tw,16,1965,63400.0
total net number of migrants,158,china. taiwan province of china,tw,17,1966,68093.0
total net number of migrants,158,china. taiwan province of china,tw,18,1967,-14145.0
total net number of migrants,158,china. taiwan province of china,tw,19,1968,-13682.0
total net number of migrants,158,china. taiwan province of china,tw,20,1969,-14840.0
total net number of migrants,158,china. taiwan province of china,tw,21,1970,-15126.0
total net number of migrants,158,china. taiwan province of china,tw,22,1971,-8390.0
total net number of migrants,158,china. taiwan province of china,tw,23,1972,-3396.0
total net number of migrants,158,china. taiwan province of china,tw,24,1973,-4856.0
total net number of migrants,158,china. taiwan province of china,tw,25,1974,-10126.0
total net number of migrants,158,china. taiwan province of china,tw,26,1975,-19493.0
total net number of migrants,158,china. taiwan province of china,tw,27,1976,-39429.0
total net number of migrants,158,china. taiwan province of china,tw,28,1977,-27546.0
total net number of migrants,158,china. taiwan province of china,tw,29,1978,-33347.0
total net number of migrants,158,china. taiwan province of china,tw,30,1979,-38670.0
total net number of migrants,158,china. taiwan province of china,tw,31,1980,-38131.0
total net number of migrants,158,china. taiwan province of china,tw,32,1981,-39185.0
total net number of migrants,158,china. taiwan province of china,tw,33,1982,-34964.0
total net number of migrants,158,china. taiwan province of china,tw,34,1983,-23949.0
total net number of migrants,158,china. taiwan province of china,tw,35,1984,-16274.0
total net number of migrants,158,china. taiwan province of china,tw,36,1985,-2399.0
total net number of migrants,158,china. taiwan province of china,tw,37,1986,7641.0
total net number of migrants,158,china. taiwan province of china,tw,38,1987,-6589.0
total net number of migrants,158,china. taiwan province of china,tw,39,1988,-31852.0
total net number of migrants,158,china. taiwan province of china,tw,40,1989,-48708.0
total net number of migrants,158,china. taiwan province of china,tw,41,1990,-49742.0
total net number of migrants,158,china. taiwan province of china,tw,42,1991,-40147.0
total net number of migrants,158,china. taiwan province of china,tw,43,1992,-43822.0
total net number of migrants,158,china. taiwan province of china,tw,44,1993,-51346.0
total net number of migrants,158,china. taiwan province of china,tw,45,1994,-52362.0
total net number of migrants,158,china. taiwan province of china,tw,46,1995,-51283.0
total net number of migrants,158,china. taiwan province of china,tw,47,1996,-51371.0
total net number of migrants,158,china. taiwan province of china,tw,48,1997,-43620.0
total net number of migrants,158,china. taiwan province of china,tw,49,1998,-19035.0
total net number of migrants,158,china. taiwan province of china,tw,50,1999,-14875.0
total net number of migrants,158,china. taiwan province of china,tw,51,2000,-9304.0
total net number of migrants,158,china. taiwan province of china,tw,52,2001,10400.0
total net number of migrants,158,china. taiwan province of china,tw,53,2002,11532.0
total net number of migrants,158,china. taiwan province of china,tw,54,2003,13169.0
total net number of migrants,158,china. taiwan province of china,tw,55,2004,11289.0
total net number of migrants,158,china. taiwan province of china,tw,56,2005,8776.0
total net number of migrants,158,china. taiwan province of china,tw,57,2006,-3255.0
total net number of migrants,158,china. taiwan province of china,tw,58,2007,-6066.0
total net number of migrants,158,china. taiwan province of china,tw,59,2008,-6931.0
total net number of migrants,158,china. taiwan province of china,tw,60,2009,-5363.0
total net number of migrants,158,china. taiwan province of china,tw,61,2010,5849.0
total net number of migrants,158,china. taiwan province of china,tw,62,2011,37899.0
total net number of migrants,158,china. taiwan province of china,tw,63,2012,34807.0
total net number of migrants,158,china. taiwan province of china,tw,64,2013,33595.0
total net number of migrants,158,china. taiwan province of china,tw,65,2014,32899.0
total net number of migrants,158,china. taiwan province of china,tw,66,2015,32099.0
total net number of migrants,158,china. taiwan province of china,tw,67,2016,31396.0
total net number of migrants,158,china. taiwan province of china,tw,68,2017,30498.0
total net number of migrants,158,china. taiwan province of china,tw,69,2018,29395.0
total net number of migrants,158,china. taiwan province of china,tw,70,2019,28003.0
total net number of migrants,158,china. taiwan province of china,tw,71,2020,26393.0
total net number of migrants,158,china. taiwan province of china,tw,72,2021,26393.0
total net number of migrants,158,china. taiwan province of china,tw,73,2022,23999.0
total net number of migrants,158,china. taiwan province of china,tw,74,2023,23999.0
