indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,446,china. macao sar,mo,1,1950,-5847.0
crude rate of net migration,446,china. macao sar,mo,2,1951,-31411.0
crude rate of net migration,446,china. macao sar,mo,3,1952,-35495.0
crude rate of net migration,446,china. macao sar,mo,4,1953,-38994.0
crude rate of net migration,446,china. macao sar,mo,5,1954,-41541.0
crude rate of net migration,446,china. macao sar,mo,6,1955,-42963.0
crude rate of net migration,446,china. macao sar,mo,7,1956,-44073.0
crude rate of net migration,446,china. macao sar,mo,8,1957,-45054.0
crude rate of net migration,446,china. macao sar,mo,9,1958,-46073.0
crude rate of net migration,446,china. macao sar,mo,10,1959,-46286.0
crude rate of net migration,446,china. macao sar,mo,11,1960,-44412.0
crude rate of net migration,446,china. macao sar,mo,12,1961,20775.0
crude rate of net migration,446,china. macao sar,mo,13,1962,45038.0
crude rate of net migration,446,china. macao sar,mo,14,1963,22674.0
crude rate of net migration,446,china. macao sar,mo,15,1964,23671.0
crude rate of net migration,446,china. macao sar,mo,16,1965,24788.0
crude rate of net migration,446,china. macao sar,mo,17,1966,25496.0
crude rate of net migration,446,china. macao sar,mo,18,1967,25879.0
crude rate of net migration,446,china. macao sar,mo,19,1968,25847.0
crude rate of net migration,446,china. macao sar,mo,20,1969,24.82
crude rate of net migration,446,china. macao sar,mo,21,1970,21428.0
crude rate of net migration,446,china. macao sar,mo,22,1971,-9867.0
crude rate of net migration,446,china. macao sar,mo,23,1972,-8383.0
crude rate of net migration,446,china. macao sar,mo,24,1973,-7327.0
crude rate of net migration,446,china. macao sar,mo,25,1974,-6517.0
crude rate of net migration,446,china. macao sar,mo,26,1975,-6117.0
crude rate of net migration,446,china. macao sar,mo,27,1976,-6136.0
crude rate of net migration,446,china. macao sar,mo,28,1977,-6932.0
crude rate of net migration,446,china. macao sar,mo,29,1978,-8335.0
crude rate of net migration,446,china. macao sar,mo,30,1979,-9732.0
crude rate of net migration,446,china. macao sar,mo,31,1980,-10116.0
crude rate of net migration,446,china. macao sar,mo,32,1981,16289.0
crude rate of net migration,446,china. macao sar,mo,33,1982,22.58
crude rate of net migration,446,china. macao sar,mo,34,1983,22133.0
crude rate of net migration,446,china. macao sar,mo,35,1984,22336.0
crude rate of net migration,446,china. macao sar,mo,36,1985,22465.0
crude rate of net migration,446,china. macao sar,mo,37,1986,23123.0
crude rate of net migration,446,china. macao sar,mo,38,1987,23587.0
crude rate of net migration,446,china. macao sar,mo,39,1988,23634.0
crude rate of net migration,446,china. macao sar,mo,40,1989,22432.0
crude rate of net migration,446,china. macao sar,mo,41,1990,21483.0
crude rate of net migration,446,china. macao sar,mo,42,1991,17277.0
crude rate of net migration,446,china. macao sar,mo,43,1992,9194.0
crude rate of net migration,446,china. macao sar,mo,44,1993,9143.0
crude rate of net migration,446,china. macao sar,mo,45,1994,9086.0
crude rate of net migration,446,china. macao sar,mo,46,1995,9476.0
crude rate of net migration,446,china. macao sar,mo,47,1996,9659.0
crude rate of net migration,446,china. macao sar,mo,48,1997,9934.0
crude rate of net migration,446,china. macao sar,mo,49,1998,9879.0
crude rate of net migration,446,china. macao sar,mo,50,1999,9987.0
crude rate of net migration,446,china. macao sar,mo,51,2000,9621.0
crude rate of net migration,446,china. macao sar,mo,52,2001,15103.0
crude rate of net migration,446,china. macao sar,mo,53,2002,25399.0
crude rate of net migration,446,china. macao sar,mo,54,2003,25078.0
crude rate of net migration,446,china. macao sar,mo,55,2004,24506.0
crude rate of net migration,446,china. macao sar,mo,56,2005,23629.0
crude rate of net migration,446,china. macao sar,mo,57,2006,22986.0
crude rate of net migration,446,china. macao sar,mo,58,2007,22241.0
crude rate of net migration,446,china. macao sar,mo,59,2008,21643.0
crude rate of net migration,446,china. macao sar,mo,60,2009,20951.0
crude rate of net migration,446,china. macao sar,mo,61,2010,20244.0
crude rate of net migration,446,china. macao sar,mo,62,2011,16186.0
crude rate of net migration,446,china. macao sar,mo,63,2012,10616.0
crude rate of net migration,446,china. macao sar,mo,64,2013,10244.0
crude rate of net migration,446,china. macao sar,mo,65,2014,10033.0
crude rate of net migration,446,china. macao sar,mo,66,2015,20729.0
crude rate of net migration,446,china. macao sar,mo,67,2016,43040.0
crude rate of net migration,446,china. macao sar,mo,68,2017,12176.0
crude rate of net migration,446,china. macao sar,mo,69,2018,12712.0
crude rate of net migration,446,china. macao sar,mo,70,2019,13018.0
crude rate of net migration,446,china. macao sar,mo,71,2020,12568.0
crude rate of net migration,446,china. macao sar,mo,72,2021,5851.0
crude rate of net migration,446,china. macao sar,mo,73,2022,7218.0
crude rate of net migration,446,china. macao sar,mo,74,2023,7126.0
